Term code,Term,Course number,Course title,Course section number,Instruction mode,Total enrollment
994,Spring 1999,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,1
994,Spring 1999,SPAC22458,Space Navigation,SPAC22458_3,Independent Studies,45
996,Summer 1999,SPAC22458,Space Navigation,SPAC22458_1,In-Person,42
996,Summer 1999,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,17
998,Fall 1999,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
998,Fall 1999,SPAC22458,Space Navigation,SPAC22458_2,In-Person,100
998,Fall 1999,SPAC22458,Space Navigation,SPAC22458_3,In-Person,87
1004,Spring 2000,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1004,Spring 2000,SPAC22458,Space Navigation,SPAC22458_2,In-Person,76
1006,Summer 2000,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),104
1006,Summer 2000,SPAC22458,Space Navigation,SPAC22458_2,Online,2
1006,Summer 2000,SPAC22458,Space Navigation,SPAC22458_3,In-Person,48
1008,Fall 2000,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),92
1008,Fall 2000,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1008,Fall 2000,SPAC22458,Space Navigation,SPAC22458_3,In-Person,24
1014,Spring 2001,SPAC22458,Space Navigation,SPAC22458_1,In-Person,77
1014,Spring 2001,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1016,Summer 2001,SPAC22458,Space Navigation,SPAC22458_1,Online,88
1016,Summer 2001,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1016,Summer 2001,SPAC22458,Space Navigation,SPAC22458_3,Independent Studies,168
1018,Fall 2001,SPAC22458,Space Navigation,SPAC22458_1,In-Person,33
1018,Fall 2001,SPAC22458,Space Navigation,SPAC22458_2,In-Person,88
1018,Fall 2001,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1024,Spring 2002,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1024,Spring 2002,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,1
1026,Summer 2002,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1028,Fall 2002,SPAC22458,Space Navigation,SPAC22458_1,In-Person,101
1028,Fall 2002,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,1
1034,Spring 2003,SPAC22458,Space Navigation,SPAC22458_1,In-Person,176
1034,Spring 2003,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),55
1036,Summer 2003,SPAC22458,Space Navigation,SPAC22458_1,In-Person,63
1036,Summer 2003,SPAC22458,Space Navigation,SPAC22458_2,In-Person,97
1038,Fall 2003,SPAC22458,Space Navigation,SPAC22458_1,In-Person,129
1038,Fall 2003,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,152
1044,Spring 2004,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1044,Spring 2004,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1046,Summer 2004,SPAC22458,Space Navigation,SPAC22458_1,In-Person,9
1046,Summer 2004,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,144
1048,Fall 2004,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1048,Fall 2004,SPAC22458,Space Navigation,SPAC22458_2,In-Person,17
1048,Fall 2004,SPAC22458,Space Navigation,SPAC22458_3,Blended (Online & In-Person),16
1054,Spring 2005,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),173
1054,Spring 2005,SPAC22458,Space Navigation,SPAC22458_2,In-Person,18
1056,Summer 2005,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,26
1056,Summer 2005,SPAC22458,Space Navigation,SPAC22458_2,Online,81
1056,Summer 2005,SPAC22458,Space Navigation,SPAC22458_3,In-Person,38
1058,Fall 2005,SPAC22458,Space Navigation,SPAC22458_1,In-Person,84
1058,Fall 2005,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1058,Fall 2005,SPAC22458,Space Navigation,SPAC22458_3,In-Person,6
1064,Spring 2006,SPAC22458,Space Navigation,SPAC22458_1,In-Person,44
1064,Spring 2006,SPAC22458,Space Navigation,SPAC22458_2,In-Person,148
1066,Summer 2006,SPAC22458,Space Navigation,SPAC22458_1,In-Person,22
1066,Summer 2006,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1068,Fall 2006,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
1068,Fall 2006,SPAC22458,Space Navigation,SPAC22458_2,Online,1
1068,Fall 2006,SPAC22458,Space Navigation,SPAC22458_3,In-Person,46
1074,Spring 2007,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1074,Spring 2007,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,1
1076,Summer 2007,SPAC22458,Space Navigation,SPAC22458_1,In-Person,6
1076,Summer 2007,SPAC22458,Space Navigation,SPAC22458_2,In-Person,47
1078,Fall 2007,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1082,Jan-08,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1082,Jan-08,SPAC22458,Space Navigation,SPAC22458_2,Online,76
1082,Jan-08,SPAC22458,Space Navigation,SPAC22458_3,Online Hybrid,1
1084,Spring 2008,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1086,Summer 2008,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,63
1086,Summer 2008,SPAC22458,Space Navigation,SPAC22458_2,Online,66
1086,Summer 2008,SPAC22458,Space Navigation,SPAC22458_3,Online,51
1088,Fall 2008,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1092,Jan-09,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1092,Jan-09,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),146
1092,Jan-09,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1094,Spring 2009,SPAC22458,Space Navigation,SPAC22458_1,In-Person,17
1094,Spring 2009,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,45
1094,Spring 2009,SPAC22458,Space Navigation,SPAC22458_3,In-Person,141
1096,Summer 2009,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
1096,Summer 2009,SPAC22458,Space Navigation,SPAC22458_2,In-Person,5
1098,Fall 2009,SPAC22458,Space Navigation,SPAC22458_1,In-Person,50
1102,Jan-10,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,56
1102,Jan-10,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1104,Spring 2010,SPAC22458,Space Navigation,SPAC22458_1,Online,88
1106,Summer 2010,SPAC22458,Space Navigation,SPAC22458_1,Online,96
1106,Summer 2010,SPAC22458,Space Navigation,SPAC22458_2,In-Person,21
1108,Fall 2010,SPAC22458,Space Navigation,SPAC22458_1,Online,56
1108,Fall 2010,SPAC22458,Space Navigation,SPAC22458_2,Online,1
1112,Jan-11,SPAC22458,Space Navigation,SPAC22458_1,In-Person,108
1112,Jan-11,SPAC22458,Space Navigation,SPAC22458_2,In-Person,110
1114,Spring 2011,SPAC22458,Space Navigation,SPAC22458_1,In-Person,41
1114,Spring 2011,SPAC22458,Space Navigation,SPAC22458_2,In-Person,96
1114,Spring 2011,SPAC22458,Space Navigation,SPAC22458_3,Independent Studies,43
1116,Summer 2011,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1118,Fall 2011,SPAC22458,Space Navigation,SPAC22458_1,In-Person,74
1118,Fall 2011,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1122,Jan-12,SPAC22458,Space Navigation,SPAC22458_1,In-Person,61
1122,Jan-12,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1122,Jan-12,SPAC22458,Space Navigation,SPAC22458_3,Online,8
1124,Spring 2012,SPAC22458,Space Navigation,SPAC22458_1,In-Person,42
1124,Spring 2012,SPAC22458,Space Navigation,SPAC22458_2,Online,1
1124,Spring 2012,SPAC22458,Space Navigation,SPAC22458_3,In-Person,20
1126,Summer 2012,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,1
1128,Fall 2012,SPAC22458,Space Navigation,SPAC22458_1,Online,31
1128,Fall 2012,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),84
1128,Fall 2012,SPAC22458,Space Navigation,SPAC22458_3,In-Person,124
1132,Jan-13,SPAC22458,Space Navigation,SPAC22458_1,In-Person,12
1134,Spring 2013,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1134,Spring 2013,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1134,Spring 2013,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1136,Summer 2013,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1136,Summer 2013,SPAC22458,Space Navigation,SPAC22458_2,In-Person,33
1138,Fall 2013,SPAC22458,Space Navigation,SPAC22458_1,In-Person,65
1138,Fall 2013,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,80
1138,Fall 2013,SPAC22458,Space Navigation,SPAC22458_3,Online,36
1142,Jan-14,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),1
1142,Jan-14,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1142,Jan-14,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1144,Spring 2014,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1144,Spring 2014,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1144,Spring 2014,SPAC22458,Space Navigation,SPAC22458_3,In-Person,148
1146,Summer 2014,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,1
1146,Summer 2014,SPAC22458,Space Navigation,SPAC22458_2,Online,51
1146,Summer 2014,SPAC22458,Space Navigation,SPAC22458_3,In-Person,49
1148,Fall 2014,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1152,Jan-15,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1152,Jan-15,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1154,Spring 2015,SPAC22458,Space Navigation,SPAC22458_1,In-Person,26
1156,Summer 2015,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1158,Fall 2015,SPAC22458,Space Navigation,SPAC22458_1,In-Person,34
1158,Fall 2015,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1162,Jan-16,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,108
1162,Jan-16,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),99
1162,Jan-16,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1164,Spring 2016,SPAC22458,Space Navigation,SPAC22458_1,In-Person,19
1166,Summer 2016,SPAC22458,Space Navigation,SPAC22458_1,In-Person,3
1166,Summer 2016,SPAC22458,Space Navigation,SPAC22458_2,In-Person,165
1166,Summer 2016,SPAC22458,Space Navigation,SPAC22458_3,Blended (Online & In-Person),6
1168,Fall 2016,SPAC22458,Space Navigation,SPAC22458_1,In-Person,26
1168,Fall 2016,SPAC22458,Space Navigation,SPAC22458_2,In-Person,99
1168,Fall 2016,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1172,Jan-17,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,177
1172,Jan-17,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1174,Spring 2017,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1174,Spring 2017,SPAC22458,Space Navigation,SPAC22458_2,In-Person,75
1176,Summer 2017,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1176,Summer 2017,SPAC22458,Space Navigation,SPAC22458_2,In-Person,96
1178,Fall 2017,SPAC22458,Space Navigation,SPAC22458_1,Online,34
1178,Fall 2017,SPAC22458,Space Navigation,SPAC22458_2,In-Person,82
1182,Jan-18,SPAC22458,Space Navigation,SPAC22458_1,Online,1
1182,Jan-18,SPAC22458,Space Navigation,SPAC22458_2,Online,1
1182,Jan-18,SPAC22458,Space Navigation,SPAC22458_3,In-Person,29
1184,Spring 2018,SPAC22458,Space Navigation,SPAC22458_1,In-Person,65
1184,Spring 2018,SPAC22458,Space Navigation,SPAC22458_2,In-Person,82
1184,Spring 2018,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1186,Summer 2018,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1186,Summer 2018,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1188,Fall 2018,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,17
1192,Jan-19,SPAC22458,Space Navigation,SPAC22458_1,In-Person,215
1194,Spring 2019,SPAC22458,Space Navigation,SPAC22458_1,In-Person,161
1194,Spring 2019,SPAC22458,Space Navigation,SPAC22458_2,In-Person,71
1196,Summer 2019,SPAC22458,Space Navigation,SPAC22458_1,In-Person,112
1196,Summer 2019,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1198,Fall 2019,SPAC22458,Space Navigation,SPAC22458_1,In-Person,159
1198,Fall 2019,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,1
1202,Jan-20,SPAC22458,Space Navigation,SPAC22458_1,Online,171
1202,Jan-20,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),78
1202,Jan-20,SPAC22458,Space Navigation,SPAC22458_3,Online Hybrid,122
1204,Spring 2020,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1204,Spring 2020,SPAC22458,Space Navigation,SPAC22458_2,Online,1
1206,Summer 2020,SPAC22458,Space Navigation,SPAC22458_1,Online,106
1208,Fall 2020,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),1
1208,Fall 2020,SPAC22458,Space Navigation,SPAC22458_2,In-Person,31
1208,Fall 2020,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1212,Jan-21,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1212,Jan-21,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1212,Jan-21,SPAC22458,Space Navigation,SPAC22458_3,In-Person,4
1214,Spring 2021,SPAC22458,Space Navigation,SPAC22458_1,In-Person,120
1214,Spring 2021,SPAC22458,Space Navigation,SPAC22458_2,In-Person,64
1214,Spring 2021,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1216,Summer 2021,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1218,Fall 2021,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1218,Fall 2021,SPAC22458,Space Navigation,SPAC22458_2,Online,17
1222,Jan-22,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
1224,Spring 2022,SPAC22458,Space Navigation,SPAC22458_1,In-Person,59
1224,Spring 2022,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
1224,Spring 2022,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1226,Summer 2022,SPAC22458,Space Navigation,SPAC22458_1,In-Person,86
1226,Summer 2022,SPAC22458,Space Navigation,SPAC22458_2,In-Person,25
1226,Summer 2022,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1228,Fall 2022,SPAC22458,Space Navigation,SPAC22458_1,Online,110
1228,Fall 2022,SPAC22458,Space Navigation,SPAC22458_2,In-Person,102
1228,Fall 2022,SPAC22458,Space Navigation,SPAC22458_3,In-Person,1
1232,Jan-23,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),49
1232,Jan-23,SPAC22458,Space Navigation,SPAC22458_2,In-Person,14
1234,Spring 2023,SPAC22458,Space Navigation,SPAC22458_1,Online,1
904,Spring 1990,DARK18849,Dark Matter,DARK18849_1,In-Person,31
906,Summer 1990,DARK18849,Dark Matter,DARK18849_1,In-Person,1
906,Summer 1990,DARK18849,Dark Matter,DARK18849_2,In-Person,29
906,Summer 1990,DARK18849,Dark Matter,DARK18849_3,In-Person,92
908,Fall 1990,DARK18849,Dark Matter,DARK18849_1,In-Person,11
914,Spring 1991,DARK18849,Dark Matter,DARK18849_1,In-Person,69
914,Spring 1991,DARK18849,Dark Matter,DARK18849_2,In-Person,42
916,Summer 1991,DARK18849,Dark Matter,DARK18849_1,Independent Studies,1
916,Summer 1991,DARK18849,Dark Matter,DARK18849_2,Online Hybrid,35
918,Fall 1991,DARK18849,Dark Matter,DARK18849_1,In-Person,1
918,Fall 1991,DARK18849,Dark Matter,DARK18849_2,Blended (Online & In-Person),1
918,Fall 1991,DARK18849,Dark Matter,DARK18849_3,Online,79
924,Spring 1992,DARK18849,Dark Matter,DARK18849_1,In-Person,115
924,Spring 1992,DARK18849,Dark Matter,DARK18849_2,Online,53
926,Summer 1992,DARK18849,Dark Matter,DARK18849_1,Online,27
926,Summer 1992,DARK18849,Dark Matter,DARK18849_2,Online,93
928,Fall 1992,DARK18849,Dark Matter,DARK18849_1,Online Hybrid,1
934,Spring 1993,DARK18849,Dark Matter,DARK18849_1,In-Person,1
936,Summer 1993,DARK18849,Dark Matter,DARK18849_1,Blended (Online & In-Person),120
936,Summer 1993,DARK18849,Dark Matter,DARK18849_2,In-Person,1
938,Fall 1993,DARK18849,Dark Matter,DARK18849_1,In-Person,82
938,Fall 1993,DARK18849,Dark Matter,DARK18849_2,Blended (Online & In-Person),1
938,Fall 1993,DARK18849,Dark Matter,DARK18849_3,In-Person,45
944,Spring 1994,DARK18849,Dark Matter,DARK18849_1,Online,34
946,Summer 1994,DARK18849,Dark Matter,DARK18849_1,In-Person,1
946,Summer 1994,DARK18849,Dark Matter,DARK18849_2,In-Person,92
946,Summer 1994,DARK18849,Dark Matter,DARK18849_3,In-Person,53
948,Fall 1994,DARK18849,Dark Matter,DARK18849_1,In-Person,1
948,Fall 1994,DARK18849,Dark Matter,DARK18849_2,In-Person,109
954,Spring 1995,DARK18849,Dark Matter,DARK18849_1,In-Person,1
956,Summer 1995,DARK18849,Dark Matter,DARK18849_1,Online,57
956,Summer 1995,DARK18849,Dark Matter,DARK18849_2,Blended (Online & In-Person),1
958,Fall 1995,DARK18849,Dark Matter,DARK18849_1,In-Person,1
964,Spring 1996,DARK18849,Dark Matter,DARK18849_1,In-Person,77
966,Summer 1996,DARK18849,Dark Matter,DARK18849_1,Independent Studies,1
966,Summer 1996,DARK18849,Dark Matter,DARK18849_2,In-Person,60
966,Summer 1996,DARK18849,Dark Matter,DARK18849_3,In-Person,1
968,Fall 1996,DARK18849,Dark Matter,DARK18849_1,In-Person,16
968,Fall 1996,DARK18849,Dark Matter,DARK18849_2,In-Person,101
974,Spring 1997,DARK18849,Dark Matter,DARK18849_1,In-Person,215
974,Spring 1997,DARK18849,Dark Matter,DARK18849_2,In-Person,1
976,Summer 1997,DARK18849,Dark Matter,DARK18849_1,In-Person,66
978,Fall 1997,DARK18849,Dark Matter,DARK18849_1,In-Person,32
984,Spring 1998,DARK18849,Dark Matter,DARK18849_1,Online,1
986,Summer 1998,DARK18849,Dark Matter,DARK18849_1,Online,76
988,Fall 1998,DARK18849,Dark Matter,DARK18849_1,Online,1
988,Fall 1998,DARK18849,Dark Matter,DARK18849_2,Online,1
988,Fall 1998,DARK18849,Dark Matter,DARK18849_3,In-Person,150
994,Spring 1999,DARK18849,Dark Matter,DARK18849_1,Online,55
994,Spring 1999,DARK18849,Dark Matter,DARK18849_2,In-Person,86
994,Spring 1999,DARK18849,Dark Matter,DARK18849_3,Blended (Online & In-Person),1
996,Summer 1999,DARK18849,Dark Matter,DARK18849_1,Online Hybrid,124
996,Summer 1999,DARK18849,Dark Matter,DARK18849_2,In-Person,164
998,Fall 1999,DARK18849,Dark Matter,DARK18849_1,Independent Studies,22
998,Fall 1999,DARK18849,Dark Matter,DARK18849_2,In-Person,88
998,Fall 1999,DARK18849,Dark Matter,DARK18849_3,In-Person,1
1004,Spring 2000,DARK18849,Dark Matter,DARK18849_1,Blended (Online & In-Person),1
1004,Spring 2000,DARK18849,Dark Matter,DARK18849_2,Online,1
1006,Summer 2000,DARK18849,Dark Matter,DARK18849_1,In-Person,54
1008,Fall 2000,DARK18849,Dark Matter,DARK18849_1,In-Person,39
1014,Spring 2001,DARK18849,Dark Matter,DARK18849_1,Independent Studies,45
1014,Spring 2001,DARK18849,Dark Matter,DARK18849_2,In-Person,104
1016,Summer 2001,DARK18849,Dark Matter,DARK18849_1,Independent Studies,1
1016,Summer 2001,DARK18849,Dark Matter,DARK18849_2,In-Person,1
1018,Fall 2001,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1018,Fall 2001,DARK18849,Dark Matter,DARK18849_2,Online,10
1018,Fall 2001,DARK18849,Dark Matter,DARK18849_3,In-Person,39
1024,Spring 2002,DARK18849,Dark Matter,DARK18849_1,Online,53
1024,Spring 2002,DARK18849,Dark Matter,DARK18849_2,Online,106
1026,Summer 2002,DARK18849,Dark Matter,DARK18849_1,Online,1
1026,Summer 2002,DARK18849,Dark Matter,DARK18849_2,Online,55
1026,Summer 2002,DARK18849,Dark Matter,DARK18849_3,In-Person,112
1028,Fall 2002,DARK18849,Dark Matter,DARK18849_1,In-Person,125
1028,Fall 2002,DARK18849,Dark Matter,DARK18849_2,In-Person,1
1028,Fall 2002,DARK18849,Dark Matter,DARK18849_3,Online,1
1034,Spring 2003,DARK18849,Dark Matter,DARK18849_1,Blended (Online & In-Person),154
1034,Spring 2003,DARK18849,Dark Matter,DARK18849_2,Online,51
1036,Summer 2003,DARK18849,Dark Matter,DARK18849_1,In-Person,35
1038,Fall 2003,DARK18849,Dark Matter,DARK18849_1,Online,66
1044,Spring 2004,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1046,Summer 2004,DARK18849,Dark Matter,DARK18849_1,In-Person,29
1046,Summer 2004,DARK18849,Dark Matter,DARK18849_2,Blended (Online & In-Person),114
1046,Summer 2004,DARK18849,Dark Matter,DARK18849_3,Online,1
1048,Fall 2004,DARK18849,Dark Matter,DARK18849_1,In-Person,39
1048,Fall 2004,DARK18849,Dark Matter,DARK18849_2,In-Person,19
1054,Spring 2005,DARK18849,Dark Matter,DARK18849_1,In-Person,52
1054,Spring 2005,DARK18849,Dark Matter,DARK18849_2,Online,13
1056,Summer 2005,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1058,Fall 2005,DARK18849,Dark Matter,DARK18849_1,In-Person,42
1058,Fall 2005,DARK18849,Dark Matter,DARK18849_2,Online Hybrid,1
1064,Spring 2006,DARK18849,Dark Matter,DARK18849_1,Online Hybrid,138
1064,Spring 2006,DARK18849,Dark Matter,DARK18849_2,Independent Studies,1
1066,Summer 2006,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1066,Summer 2006,DARK18849,Dark Matter,DARK18849_2,In-Person,38
1068,Fall 2006,DARK18849,Dark Matter,DARK18849_1,Independent Studies,54
1068,Fall 2006,DARK18849,Dark Matter,DARK18849_2,Online,43
1068,Fall 2006,DARK18849,Dark Matter,DARK18849_3,In-Person,54
1074,Spring 2007,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1074,Spring 2007,DARK18849,Dark Matter,DARK18849_2,In-Person,1
1074,Spring 2007,DARK18849,Dark Matter,DARK18849_3,In-Person,66
1076,Summer 2007,DARK18849,Dark Matter,DARK18849_1,Online,70
1078,Fall 2007,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1078,Fall 2007,DARK18849,Dark Matter,DARK18849_2,Online Hybrid,1
1082,Jan-08,DARK18849,Dark Matter,DARK18849_1,Online Hybrid,32
1084,Spring 2008,DARK18849,Dark Matter,DARK18849_1,In-Person,1
1084,Spring 2008,DARK18849,Dark Matter,DARK18849_2,Independent Studies,24
1086,Summer 2008,DARK18849,Dark Matter,DARK18849_1,Online,1
1086,Summer 2008,DARK18849,Dark Matter,DARK18849_2,In-Person,74
1088,Fall 2008,DARK18849,Dark Matter,DARK18849_1,In-Person,1
