Fake ID,Academic plan code,Academic plan,Degree,Career number,Admit term code,Admit term,Total transferred units,Start effective term code,Start effective term,Completion term code,End effective term code,Semesters,Degree awarded
28,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1144,Spring 2014,5,1144,Spring 2014,1166,1166,9,BS
29,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1154,Spring 2015,0,1154,Spring 2015,1186,1186,13,
29,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,1138,Fall 2013,28,1138,Fall 2013,1172,1172,13,
30,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1218,Fall 2021,8,1218,Fall 2021,1244,1244,10,
30,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1174,Spring 2017,13,1174,Spring 2017,1224,1224,20,
31,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1134,Spring 2013,14,1134,Spring 2013,1148,1148,6,
31,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1176,Summer 2017,0,1176,Summer 2017,1202,1202,10,
31,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1156,Summer 2015,0,1156,Summer 2015,1216,1216,24,
32,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1204,Spring 2020,43,1204,Spring 2020,1208,1208,2,
32,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,1218,Fall 2021,46,1218,Fall 2021,1276,1276,23,BS
32,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1128,Fall 2012,6,1128,Fall 2012,1134,1134,2,AAS
33,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1198,Fall 2019,63,1198,Fall 2019,1264,1264,26,
34,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1178,Fall 2017,31,1178,Fall 2017,1188,1188,4,
35,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1224,Spring 2022,0,1224,Spring 2022,1254,1254,12,
36,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1148,Fall 2014,15,1148,Fall 2014,1164,1164,6,
36,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1196,Summer 2019,14,1196,Summer 2019,1254,1254,23,BA
37,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,984,Spring 1998,20,984,Spring 1998,1014,1014,12,
38,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1108,Fall 2010,39,1108,Fall 2010,1122,1122,5,BS
39,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1204,Spring 2020,13,1204,Spring 2020,1254,1254,20,
39,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1098,Fall 2009,13,1098,Fall 2009,1118,1118,8,
40,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1218,Fall 2021,38,1218,Fall 2021,1228,1228,4,AA
40,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1214,Spring 2021,86,1214,Spring 2021,1224,1224,4,AA
41,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1214,Spring 2021,20,1214,Spring 2021,1234,1234,8,
42,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1178,Fall 2017,10,1178,Fall 2017,1198,1198,8,AAS
43,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1074,Spring 2007,23,1074,Spring 2007,1134,1134,24,BS
44,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1184,Spring 2018,16,1184,Spring 2018,1196,1196,5,AA
44,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1158,Fall 2015,6,1158,Fall 2015,1168,1168,4,AA
44,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1156,Summer 2015,43,1156,Summer 2015,1186,1186,12,
45,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1154,Spring 2015,43,1154,Spring 2015,1162,1162,3,
45,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1126,Summer 2012,8,1126,Summer 2012,1152,1152,10,
46,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1058,Fall 2005,0,1058,Fall 2005,1066,1066,3,AA
46,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1094,Spring 2009,0,1094,Spring 2009,1124,1124,12,
47,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1218,Fall 2021,2,1218,Fall 2021,1268,1268,20,
47,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1108,Fall 2010,16,1108,Fall 2010,1122,1122,5,AAS
48,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1148,Fall 2014,10,1148,Fall 2014,1178,1178,12,
48,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,828,Fall 1982,31,828,Fall 1982,846,846,7,AAS
48,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1066,Summer 2006,0,1066,Summer 2006,1082,1082,6,BA
49,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1038,Fall 2003,14,1038,Fall 2003,1068,1068,12,
49,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1156,Summer 2015,32,1156,Summer 2015,1182,1182,10,AAS
49,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1226,Summer 2022,27,1226,Summer 2022,1274,1274,19,
50,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1054,Spring 2005,58,1054,Spring 2005,1058,1058,2,BA
50,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1126,Summer 2012,29,1126,Summer 2012,1132,1132,2,BS
50,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,1094,Spring 2009,36,1094,Spring 2009,1112,1112,7,
51,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1138,Fall 2013,11,1138,Fall 2013,1186,1186,19,BS
52,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1198,Fall 2019,82,1198,Fall 2019,1234,1234,14,AAS
52,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,828,Fall 1982,26,828,Fall 1982,842,842,5,
52,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),3,1136,Summer 2013,35,1136,Summer 2013,1168,1168,13,
53,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1148,Fall 2014,0,1148,Fall 2014,1194,1194,18,BA
54,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1124,Spring 2012,37,1124,Spring 2012,1128,1128,2,
55,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1138,Fall 2013,0,1138,Fall 2013,1168,1168,12,AA
55,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,968,Fall 1996,29,968,Fall 1996,986,986,7,AA
56,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,968,Fall 1996,15,968,Fall 1996,982,982,5,
57,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1104,Spring 2010,28,1104,Spring 2010,1126,1126,9,
57,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1168,Fall 2016,21,1168,Fall 2016,1206,1206,15,
57,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),3,1138,Fall 2013,5,1138,Fall 2013,1182,1182,17,BS
58,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,986,Summer 1998,11,986,Summer 1998,1002,1002,6,
59,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1114,Spring 2011,55,1114,Spring 2011,1132,1132,7,AA
59,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1088,Fall 2008,16,1088,Fall 2008,1136,1136,19,BA
59,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),3,1128,Fall 2012,70,1128,Fall 2012,1142,1142,5,AA
60,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1138,Fall 2013,55,1138,Fall 2013,1174,1174,14,
60,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,1138,Fall 2013,35,1138,Fall 2013,1166,1166,11,AAS
61,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1148,Fall 2014,0,1148,Fall 2014,1166,1166,7,
61,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,978,Fall 1997,11,978,Fall 1997,986,986,3,
61,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),3,1168,Fall 2016,27,1168,Fall 2016,1194,1194,10,AAS
62,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1208,Fall 2020,17,1208,Fall 2020,1274,1274,26,
63,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1128,Fall 2012,25,1128,Fall 2012,1136,1136,3,AA
63,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1218,Fall 2021,4,1218,Fall 2021,1252,1252,13,BS
63,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),3,1214,Spring 2021,6,1214,Spring 2021,1276,1276,25,BA
64,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1128,Fall 2012,17,1128,Fall 2012,1162,1162,13,AA
64,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1136,Summer 2013,0,1136,Summer 2013,1146,1146,4,
64,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),3,1148,Fall 2014,14,1148,Fall 2014,1186,1186,15,
65,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1184,Spring 2018,35,1184,Spring 2018,1202,1202,7,
66,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1004,Spring 2000,11,1004,Spring 2000,1036,1036,13,
66,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1176,Summer 2017,30,1176,Summer 2017,1184,1184,3,
66,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),3,1184,Spring 2018,17,1184,Spring 2018,1186,1186,1,
67,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1164,Spring 2016,8,1164,Spring 2016,1174,1174,4,AA
67,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1128,Fall 2012,32,1128,Fall 2012,1186,1186,23,
67,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1134,Spring 2013,36,1134,Spring 2013,1144,1144,4,AAS
68,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1134,Spring 2013,2,1134,Spring 2013,1164,1164,12,
68,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1078,Fall 2007,26,1078,Fall 2007,1108,1108,12,BS
69,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1046,Summer 2004,27,1046,Summer 2004,1072,1072,10,
69,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1168,Fall 2016,38,1168,Fall 2016,1196,1196,11,
69,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1174,Spring 2017,20,1174,Spring 2017,1198,1198,10,AAS
70,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1108,Fall 2010,6,1108,Fall 2010,1126,1126,7,
70,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1068,Fall 2006,15,1068,Fall 2006,1106,1106,15,
70,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),3,1176,Summer 2017,11,1176,Summer 2017,1232,1232,22,
71,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1114,Spring 2011,23,1114,Spring 2011,1144,1144,12,AAS
72,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1168,Fall 2016,11,1168,Fall 2016,1202,1202,13,BS
72,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1196,Summer 2019,0,1196,Summer 2019,1222,1222,10,
73,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1188,Fall 2018,0,1188,Fall 2018,1224,1224,14,BA
73,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1118,Fall 2011,20,1118,Fall 2011,1176,1176,23,BA
74,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,928,Fall 1992,79,928,Fall 1992,934,934,2,AA
74,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1118,Fall 2011,52,1118,Fall 2011,1172,1172,21,BS
75,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1166,Summer 2016,24,1166,Summer 2016,1186,1186,8,AAS
76,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1188,Fall 2018,32,1188,Fall 2018,1222,1222,13,
77,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1224,Spring 2022,54,1224,Spring 2022,1252,1252,11,AAS
78,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1058,Fall 2005,42,1058,Fall 2005,1094,1094,14,BA
79,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1114,Spring 2011,22,1114,Spring 2011,1174,1174,24,BA
79,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1198,Fall 2019,13,1198,Fall 2019,1234,1234,14,
79,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),3,968,Fall 1996,35,968,Fall 1996,986,986,7,
80,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1116,Summer 2011,38,1116,Summer 2011,1132,1132,6,
81,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1176,Summer 2017,9,1176,Summer 2017,1184,1184,3,BA
81,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1138,Fall 2013,37,1138,Fall 2013,1178,1178,16,BS
82,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,958,Fall 1995,63,958,Fall 1995,986,986,11,
82,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1208,Fall 2020,2,1208,Fall 2020,1228,1228,8,
83,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1158,Fall 2015,0,1158,Fall 2015,1184,1184,10,
84,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1058,Fall 2005,19,1058,Fall 2005,1114,1114,22,BS
84,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1144,Spring 2014,57,1144,Spring 2014,1146,1146,1,BA
84,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1054,Spring 2005,4,1054,Spring 2005,1068,1068,6,BS
85,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1204,Spring 2020,10,1204,Spring 2020,1214,1214,4,AA
86,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1064,Spring 2006,27,1064,Spring 2006,1096,1096,13,
86,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1184,Spring 2018,41,1184,Spring 2018,1222,1222,15,
86,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1158,Fall 2015,5,1158,Fall 2015,1168,1168,4,
87,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1054,Spring 2005,42,1054,Spring 2005,1106,1106,21,BA
88,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,948,Fall 1994,36,948,Fall 1994,1006,1006,23,BS
88,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1106,Summer 2010,30,1106,Summer 2010,1126,1126,8,
88,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,1148,Fall 2014,12,1148,Fall 2014,1186,1186,15,
89,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1178,Fall 2017,20,1178,Fall 2017,1206,1206,11,
89,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1064,Spring 2006,0,1064,Spring 2006,1092,1092,11,AA
90,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1194,Spring 2019,28,1194,Spring 2019,1212,1212,7,
90,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,1168,Fall 2016,43,1168,Fall 2016,1196,1196,11,AAS
90,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1138,Fall 2013,3,1138,Fall 2013,1162,1162,9,
91,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1074,Spring 2007,25,1074,Spring 2007,1108,1108,14,
91,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1174,Spring 2017,9,1174,Spring 2017,1178,1178,2,
