Fake ID,Term code,Term,Course section number,Grade,Units taken,Units earned,# of terms enrolled at time of course
2,1134,Spring 2013,BLAC59641_2,A-,3,3,7
2,1136,Summer 2013,STAR38592_1,B,3,3,8
2,1136,Summer 2013,EXOP74254_1,F,3,0,8
2,1144,Spring 2014,EXOP74254_2,A,3,3,11
2,1144,Spring 2014,ASTR35756_1,B-,3,3,11
2,1144,Spring 2014,EXTR38630_1,A,3,3,11
2,1144,Spring 2014,SEAR80627_1,F,3,0,11
2,1148,Fall 2014,DARK94166_2,B+,3,3,13
2,1148,Fall 2014,GALA40097_2,C+,3,3,13
2,1154,Spring 2015,HYPE24629_1,B-,3,3,15
2,1154,Spring 2015,GALA13196_3,B,3,3,15
2,1158,Fall 2015,INTE10915_3,B-,3,3,17
2,1158,Fall 2015,MILK50696_3,W,3,0,17
2,1162,January 2016,ASTR73455_1,W,3,0,18
2,1164,Spring 2016,ASTR48370_3,A-,3,3,19
2,1164,Spring 2016,SEAR80627_2,B+,3,3,19
2,1164,Spring 2016,ALIE11853_1,A,3,3,19
2,1164,Spring 2016,ASTR73455_1,W,3,0,19
2,1168,Fall 2016,MILK50696_2,B+,3,3,21
2,1168,Fall 2016,ASTR73455_3,C+,3,3,21
2,1168,Fall 2016,SPAC22458_3,D,3,3,21
2,1168,Fall 2016,ASTR36720_1,D+,3,3,21
2,1174,Spring 2017,STEL81910_1,A,3,3,23
2,1178,Fall 2017,COSM35159_1,A,3,3,25
2,1128,Fall 2012,ALIE11853_2,B+,3,3,1
2,1134,Spring 2013,STAR38592_3,D,3,3,3
2,1134,Spring 2013,INTE10915_3,D+,3,3,3
2,1134,Spring 2013,HYPE24629_2,A,3,3,3
2,1134,Spring 2013,EXTR38630_2,A,3,3,3
2,1134,Spring 2013,INTE86240_1,F,3,0,3
2,1136,Summer 2013,DARK86226_2,B-,3,3,4
2,1136,Summer 2013,ASTR41081_3,A-,3,3,4
2,1138,Fall 2013,BLAC49063_2,C,3,3,5
2,1138,Fall 2013,EXOP74254_2,D+,3,3,5
2,1138,Fall 2013,QUAN26259_2,C+,3,3,5
2,1138,Fall 2013,GALA13196_1,C+,3,3,5
2,1144,Spring 2014,ASTR73455_1,C+,3,3,7
2,1148,Fall 2014,MILK56869_2,B-,3,3,9
2,1148,Fall 2014,SPAC75780_1,C+,3,3,9
2,1148,Fall 2014,ALIE58926_2,C+,3,3,9
2,1148,Fall 2014,GALA40097_2,W,3,0,9
2,1154,Spring 2015,INTE16533_2,A,3,3,11
2,1154,Spring 2015,STEL97614_2,A,3,3,11
2,1154,Spring 2015,GALA42460_1,A,3,3,11
2,1154,Spring 2015,STAR99539_2,B+,3,3,11
2,1138,Fall 2013,EXOP56809_1,A,3,3,1
2,1138,Fall 2013,EXTR79506_1,B-,3,3,1
2,1138,Fall 2013,STEL81910_1,C+,3,3,1
2,1138,Fall 2013,GALA42460_3,A,3,3,1
2,1144,Spring 2014,ASTR36720_1,D+,3,3,3
2,1144,Spring 2014,SPAC75780_1,F,3,0,3
2,1144,Spring 2014,INTE93415_2,W,3,0,3
2,1144,Spring 2014,ALIE11853_2,C-,3,3,3
2,1148,Fall 2014,BLAC59641_2,F,3,0,5
2,1148,Fall 2014,INTE86240_2,F,3,0,5
2,1148,Fall 2014,ASTR35756_2,B,3,3,5
3,1226,Summer 2022,EXTR79506_2,B+,3,3,1
3,1228,Fall 2022,QUAN26259_1,C,3,3,2
3,1228,Fall 2022,EXOP31959_2,A-,3,3,2
3,1228,Fall 2022,EXTR38630_1,B,3,3,2
3,1228,Fall 2022,BLAC49063_1,C+,3,3,2
3,1228,Fall 2022,ALIE11853_3,F,3,0,2
3,1044,Spring 2004,GALA46496_3,C,3,3,1
3,1044,Spring 2004,ASTR73455_1,B+,3,3,1
3,1044,Spring 2004,INTE93415_3,D+,3,3,1
3,1218,Fall 2021,GALA40097_1,B-,3,3,1
3,1218,Fall 2021,INTE94952_2,B-,3,3,1
3,1218,Fall 2021,INTE10915_2,B+,3,3,1
3,1218,Fall 2021,ASTR35756_1,B,3,3,1
3,1224,Spring 2022,QUAN26259_2,A-,3,3,3
3,1228,Fall 2022,EXOP74254_2,A,3,3,5
3,1228,Fall 2022,ASTR36720_1,B+,3,3,5
4,1178,Fall 2017,ORIG96662_1,A,3,3,1
4,1178,Fall 2017,STEL81910_1,B+,3,3,1
4,1178,Fall 2017,SEAR80627_2,A-,3,3,1
4,1178,Fall 2017,MILK56869_2,F,3,0,1
4,1184,Spring 2018,EXTR79506_2,C+,3,3,3
4,1184,Spring 2018,GALA13196_1,B,3,3,3
4,1184,Spring 2018,EXOP74254_1,D+,3,3,3
4,1184,Spring 2018,ALIE11853_1,C-,3,3,3
4,1194,Spring 2019,EXOP56809_1,A,3,3,7
4,1194,Spring 2019,SPAC90791_3,B,3,3,7
4,1194,Spring 2019,INTE16533_1,A,3,3,7
4,1194,Spring 2019,ALIE58926_2,B+,3,3,7
4,1194,Spring 2019,ASTR35756_1,A-,3,3,7
4,1196,Summer 2019,QUAN26259_1,C,3,3,8
4,1198,Fall 2019,INTE86240_1,B-,3,3,9
4,1198,Fall 2019,BLAC49063_2,B+,3,3,9
4,1198,Fall 2019,SPAC75780_2,A,3,3,9
4,1198,Fall 2019,INTE93415_2,C+,3,3,9
4,1204,Spring 2020,COSM14823_1,B-,3,3,11
4,1204,Spring 2020,STAR99539_1,W,3,0,11
4,1204,Spring 2020,DARK18849_1,W,3,0,11
4,1204,Spring 2020,ASTR48370_3,D,3,3,11
4,1204,Spring 2020,GALA42460_1,C-,3,3,11
4,1206,Summer 2020,EXTR38630_1,A,3,3,12
4,1208,Fall 2020,DARK86226_1,B-,3,3,13
4,1212,January 2021,ASTR73455_1,D,3,3,14
4,1214,Spring 2021,INTE10915_2,W,3,0,15
4,1214,Spring 2021,STAR99539_1,F,3,0,15
4,1214,Spring 2021,MILK71096_1,B-,3,3,15
4,1214,Spring 2021,STAR38592_1,A,3,3,15
4,1218,Fall 2021,STAR99539_1,W,3,0,17
4,1218,Fall 2021,INTE10915_1,D,3,3,17
4,1224,Spring 2022,STAR99539_1,C,3,3,19
4,1224,Spring 2022,ASTR41081_3,W,3,0,19
4,1224,Spring 2022,HYPE24629_1,A-,3,3,19
4,1228,Fall 2022,ASTR41081_2,A,3,3,21
4,1228,Fall 2022,GALA46496_1,A-,3,3,21
5,1208,Fall 2020,STAR38592_1,A-,3,3,1
5,1208,Fall 2020,COSM35159_1,B,3,3,1
5,1214,Spring 2021,GALA42460_1,B+,3,3,3
5,1214,Spring 2021,DARK86226_1,C+,3,3,3
5,1216,Summer 2021,EXOP31959_2,C+,3,3,4
5,1218,Fall 2021,EXTR38630_1,C-,3,3,5
5,1218,Fall 2021,INTE10915_2,A-,3,3,5
5,1224,Spring 2022,QUAN26259_3,B+,3,3,7
5,1224,Spring 2022,EXOP74254_1,W,3,0,7
5,1224,Spring 2022,SEAR80627_2,C+,3,3,7
5,1224,Spring 2022,INTE86240_1,W,3,0,7
6,1158,Fall 2015,GALA40097_1,A-,3,3,1
6,1158,Fall 2015,ORIG68077_1,B,3,3,1
6,1158,Fall 2015,STEL81910_3,C-,3,3,1
6,1158,Fall 2015,ASTR36720_2,W,3,0,1
6,1164,Spring 2016,ASTR48370_1,A-,3,3,3
6,1164,Spring 2016,SEAR80627_3,D,3,3,3
6,1164,Spring 2016,DARK86226_3,A,3,3,3
6,1164,Spring 2016,INTE93415_2,B,3,3,3
6,1168,Fall 2016,EXOP56809_1,B+,3,3,5
6,1168,Fall 2016,EXOP74254_3,B-,3,3,5
6,1168,Fall 2016,ASTR73455_1,B+,3,3,5
6,1224,Spring 2022,BLAC49063_2,W,3,0,1
6,1224,Spring 2022,EXTR79506_1,A,3,3,1
6,1224,Spring 2022,MILK71096_1,B,3,3,1
6,1224,Spring 2022,ALIE58926_1,B+,3,3,1
6,1228,Fall 2022,ASTR73455_1,W,3,0,3
6,1228,Fall 2022,INTE93415_1,B-,3,3,3
6,1228,Fall 2022,INTE16533_2,D,3,3,3
6,1184,Spring 2018,ALIE74993_1,A,3,3,1
6,1184,Spring 2018,EXOP74254_1,A-,3,3,1
6,1184,Spring 2018,INTE79674_2,W,3,0,1
6,1184,Spring 2018,EXTR79506_3,D,3,3,1
6,1186,Summer 2018,INTE93415_1,C,3,3,2
6,1194,Spring 2019,ASTR73455_2,F,3,0,5
6,1194,Spring 2019,GALA13196_3,A-,3,3,5
6,1194,Spring 2019,SPAC90791_1,B+,3,3,5
6,1194,Spring 2019,INTE94952_1,B-,3,3,5
6,1198,Fall 2019,DARK94166_1,A-,3,3,7
6,1198,Fall 2019,ASTR48370_1,B+,3,3,7
6,1198,Fall 2019,SEAR80627_1,F,3,0,7
6,1204,Spring 2020,INTE86240_1,B,3,3,9
6,1204,Spring 2020,SEAR80627_1,C+,3,3,9
6,1204,Spring 2020,HYPE24629_1,D+,3,3,9
6,1204,Spring 2020,EXTR38630_2,A,3,3,9
6,1208,Fall 2020,ASTR73455_3,A,3,3,11
6,1208,Fall 2020,COSM35159_1,A,3,3,11
6,1214,Spring 2021,STAR38592_1,B+,3,3,13
6,1214,Spring 2021,ASTR35756_2,B+,3,3,13
6,1218,Fall 2021,MILK50696_1,D,3,3,15
6,1218,Fall 2021,STAR99539_2,C-,3,3,15
6,1218,Fall 2021,BLAC49063_1,A-,3,3,15
6,1218,Fall 2021,QUAN26259_1,C-,3,3,15
7,1048,Fall 2004,EXTR38630_1,W,3,0,2
7,1048,Fall 2004,COSM35159_2,A-,3,3,2
7,1048,Fall 2004,INTE94952_1,A-,3,3,2
7,1048,Fall 2004,MILK56869_1,A-,3,3,2
7,1048,Fall 2004,SEAR80627_3,F,3,0,2
7,1058,Fall 2005,EXOP31959_1,F,3,0,6
7,1058,Fall 2005,STAR38592_1,B+,3,3,6
7,1058,Fall 2005,ASTR36720_2,A-,3,3,6
7,1058,Fall 2005,ASTR73455_2,C,3,3,6
7,1068,Fall 2006,ALIE11853_2,A,3,3,10
7,1068,Fall 2006,EXOP31959_2,A,3,3,10
7,1068,Fall 2006,EXTR79506_2,C-,3,3,10
7,1068,Fall 2006,ALIE58926_2,A,3,3,10
7,1068,Fall 2006,GALA46496_3,D,3,3,10
7,1168,Fall 2016,DARK86226_2,F,3,0,1
7,1168,Fall 2016,SPAC22458_3,A-,3,3,1
7,1174,Spring 2017,ALIE11853_2,D,3,3,3
7,1174,Spring 2017,STAR38592_2,C+,3,3,3
7,1174,Spring 2017,GALA70070_1,D+,3,3,3
7,1174,Spring 2017,INTE16533_1,B,3,3,3
7,1178,Fall 2017,EXTR38630_1,B+,3,3,5
7,1186,Summer 2018,DARK18849_2,B-,3,3,8
7,1188,Fall 2018,INTE86240_1,B+,3,3,9
7,1188,Fall 2018,STEL81910_1,B-,3,3,9
7,1188,Fall 2018,GALA40097_2,A-,3,3,9
7,1188,Fall 2018,ASTR73455_3,B+,3,3,9
7,1194,Spring 2019,EXTR79506_2,B,3,3,11
7,1198,Fall 2019,ASTR35756_3,F,3,0,13
7,1198,Fall 2019,EXOP74254_1,B+,3,3,13
7,1198,Fall 2019,INTE10915_2,C-,3,3,13
7,1204,Spring 2020,STAR99539_1,D+,3,3,15
7,1204,Spring 2020,ASTR36720_2,C+,3,3,15
7,1204,Spring 2020,ASTR35756_1,A-,3,3,15
7,1204,Spring 2020,ORIG96662_1,B+,3,3,15
7,1204,Spring 2020,ALIE58926_1,D+,3,3,15
7,1208,Fall 2020,SEAR80627_1,C+,3,3,17
7,1208,Fall 2020,QUAN26259_2,D+,3,3,17
7,1208,Fall 2020,ASTR48370_1,D+,3,3,17
7,1208,Fall 2020,COSM14823_3,D+,3,3,17
8,1098,Fall 2009,EXTR38630_2,A-,3,3,1
8,1098,Fall 2009,STAR38592_1,B+,3,3,1
8,1104,Spring 2010,INTE10915_2,W,3,0,3
9,1178,Fall 2017,INTE79674_1,B+,3,3,1
9,1178,Fall 2017,SPAC22458_2,A,3,3,1
9,1178,Fall 2017,MILK50696_1,B+,3,3,1
9,1178,Fall 2017,EXOP74254_1,C,3,3,1
10,1016,Summer 2001,EXOP74254_1,B+,3,3,2
10,1016,Summer 2001,INTE86240_1,B,3,3,2
10,1018,Fall 2001,ASTR41081_1,W,3,0,3
10,1018,Fall 2001,SEAR80627_1,W,3,0,3
10,1018,Fall 2001,ASTR73455_1,D+,3,3,3
10,1024,Spring 2002,DARK18849_1,C,3,3,5
10,1024,Spring 2002,STAR99539_2,C,3,3,5
10,1028,Fall 2002,HYPE24629_3,A,3,3,7
10,1028,Fall 2002,EXTR79506_3,A,3,3,7
10,1034,Spring 2003,SPAC22458_3,C-,3,3,9
10,1034,Spring 2003,STEL81910_3,B-,3,3,9
10,1034,Spring 2003,ASTR41081_1,B-,3,3,9
10,1034,Spring 2003,STAR38592_2,A-,3,3,9
10,1038,Fall 2003,SPAC75780_3,A-,3,3,11
10,1038,Fall 2003,EXTR38630_1,C,3,3,11
10,1046,Summer 2004,GALA13196_1,A-,3,3,14
10,1048,Fall 2004,EXOP56809_1,A,3,3,15
10,1048,Fall 2004,ALIE58926_1,B+,3,3,15
10,1048,Fall 2004,INTE79674_1,B+,3,3,15
10,1048,Fall 2004,ALIE11853_3,A,3,3,15
11,1134,Spring 2013,BLAC59641_1,A-,3,3,1
11,1134,Spring 2013,QUAN26259_3,A,3,3,1
11,1134,Spring 2013,ASTR41081_2,B-,3,3,1
11,1134,Spring 2013,HYPE24629_3,W,3,0,1
11,1138,Fall 2013,INTE86240_1,F,3,0,3
11,1138,Fall 2013,GALA40097_1,C+,3,3,3
11,1138,Fall 2013,INTE79674_2,A,3,3,3
11,1138,Fall 2013,INTE10915_3,B+,3,3,3
11,1144,Spring 2014,EXTR79506_2,B+,3,3,5
11,1144,Spring 2014,ASTR35756_1,B,3,3,5
11,1144,Spring 2014,INTE86240_1,D+,3,3,5
11,1144,Spring 2014,STAR38592_2,A-,3,3,5
11,1144,Spring 2014,ALIE11853_2,A,3,3,5
11,1148,Fall 2014,SEAR80627_1,A-,3,3,7
11,1152,January 2015,EXTR38630_2,A-,3,3,8
11,1154,Spring 2015,MILK56869_2,B+,3,3,9
11,1154,Spring 2015,DARK86226_1,A,3,3,9
11,1154,Spring 2015,EXOP74254_1,A-,3,3,9
11,1156,Summer 2015,STEL97614_1,W,3,0,10
11,1158,Fall 2015,GALA13196_1,C+,3,3,11
11,1164,Spring 2016,STEL18167_1,D+,3,3,13
11,1164,Spring 2016,COSM35159_3,C+,3,3,13
11,1164,Spring 2016,SPAC90791_2,F,3,0,13
11,1164,Spring 2016,STAR99539_1,D,3,3,13
11,1168,Fall 2016,ASTR48370_2,D+,3,3,15
11,1168,Fall 2016,HYPE24629_3,B+,3,3,15
11,1168,Fall 2016,GALA66884_1,B,3,3,15
11,1168,Fall 2016,EXOP31959_2,B,3,3,15
11,1168,Fall 2016,ALIE74993_2,C+,3,3,15
11,1094,Spring 2009,COSM14823_3,B,3,3,1
11,1098,Fall 2009,GALA77139_1,A,3,3,3
11,1098,Fall 2009,GALA70070_1,B-,3,3,3
11,1098,Fall 2009,INTE86240_1,D,3,3,3
11,1098,Fall 2009,STEL81910_2,D+,3,3,3
11,1104,Spring 2010,GALA40097_3,A,3,3,5
11,1104,Spring 2010,INTE10915_2,C-,3,3,5
11,1104,Spring 2010,ASTR35756_1,C-,3,3,5
11,1104,Spring 2010,HYPE24629_2,A,3,3,5
11,1108,Fall 2010,ALIE58926_1,A,3,3,7
11,1108,Fall 2010,EXTR79506_1,W,3,0,7
11,1108,Fall 2010,DARK18849_3,W,3,0,7
11,1108,Fall 2010,EXTR38630_3,B,3,3,7
11,1112,January 2011,QUAN26259_1,F,3,0,8
11,1114,Spring 2011,EXOP74254_1,A-,3,3,9
11,1114,Spring 2011,INTE16533_2,A-,3,3,9
11,1114,Spring 2011,EXTR79506_2,A,3,3,9
11,1114,Spring 2011,ORIG96662_2,D+,3,3,9
11,1118,Fall 2011,ALIE11853_3,B+,3,3,11
11,1118,Fall 2011,ASTR36720_1,A-,3,3,11
11,1118,Fall 2011,SPAC75780_2,F,3,0,11
11,1118,Fall 2011,EXOP56809_2,B,3,3,11
11,1124,Spring 2012,QUAN26259_1,A-,3,3,13
11,1124,Spring 2012,ASTR73455_1,C,3,3,13
11,1124,Spring 2012,SPAC75780_1,D+,3,3,13
11,1124,Spring 2012,SPAC90791_2,D+,3,3,13
11,1134,Spring 2013,INTE93415_2,A-,3,3,17
11,1138,Fall 2013,DARK18849_2,W,3,0,19
11,1138,Fall 2013,SEAR80627_1,C,3,3,19
11,1138,Fall 2013,STAR38592_1,W,3,0,19
11,1138,Fall 2013,STAR99539_1,D,3,3,19
11,1144,Spring 2014,MILK50696_1,D,3,3,21
11,1144,Spring 2014,BLAC49063_2,C+,3,3,21
11,1144,Spring 2014,DARK18849_3,A,3,3,21
11,1144,Spring 2014,ASTR48370_2,W,3,0,21
11,1188,Fall 2018,HYPE24629_2,B-,3,3,1
11,1188,Fall 2018,MILK71096_1,A,3,3,1
11,1188,Fall 2018,STAR38592_1,W,3,0,1
11,1194,Spring 2019,ASTR35756_1,W,3,0,3
11,1194,Spring 2019,COSM14823_3,W,3,0,3
11,1196,Summer 2019,ORIG68077_2,B+,3,3,4
11,1198,Fall 2019,STAR38592_1,W,3,0,5
11,1198,Fall 2019,INTE94952_1,B-,3,3,5
11,1198,Fall 2019,INTE86240_2,A-,3,3,5
11,1198,Fall 2019,STEL18167_1,A,3,3,5
11,1204,Spring 2020,STAR99539_1,D+,3,3,7
11,1204,Spring 2020,EXOP74254_1,B,3,3,7
11,1204,Spring 2020,ASTR48370_1,C+,3,3,7
11,1204,Spring 2020,ALIE11853_2,W,3,0,7
11,1208,Fall 2020,EXTR79506_1,B,3,3,9
11,1208,Fall 2020,STAR38592_2,F,3,0,9
11,1208,Fall 2020,INTE10915_2,B+,3,3,9
11,1208,Fall 2020,EXOP56809_1,C,3,3,9
11,1208,Fall 2020,ASTR73455_2,A,3,3,9
11,1214,Spring 2021,ASTR35756_1,F,3,0,11
11,1214,Spring 2021,GALA70070_1,F,3,0,11
11,1214,Spring 2021,SPAC75780_3,C-,3,3,11
11,1214,Spring 2021,EXTR38630_2,W,3,0,11
11,1218,Fall 2021,QUAN26259_1,A,3,3,13
11,1218,Fall 2021,ALIE11853_1,B,3,3,13
11,1218,Fall 2021,EXTR38630_3,D,3,3,13
11,1218,Fall 2021,GALA46496_1,B,3,3,13
11,1218,Fall 2021,ALIE58926_1,A-,3,3,13
11,1224,Spring 2022,SPAC90791_1,W,3,0,15
11,1224,Spring 2022,DARK94166_2,A,3,3,15
11,1224,Spring 2022,INTE93415_1,B-,3,3,15
11,1224,Spring 2022,SEAR80627_1,B+,3,3,15
11,1228,Fall 2022,STAR38592_2,A,3,3,17
11,1228,Fall 2022,BLAC49063_1,F,3,0,17
11,1228,Fall 2022,ASTR41081_1,A-,3,3,17
11,1228,Fall 2022,ASTR35756_1,A-,3,3,17
12,1218,Fall 2021,ALIE11853_2,A,3,3,1
12,1218,Fall 2021,EXTR38630_1,A,3,3,1
12,1218,Fall 2021,ASTR35756_1,W,3,0,1
12,1218,Fall 2021,STAR38592_1,A,3,3,1
12,1224,Spring 2022,GALA46496_2,A-,3,3,3
12,1224,Spring 2022,EXOP31959_1,B,3,3,3
12,1208,Fall 2020,ASTR41081_2,B+,3,3,2
12,1208,Fall 2020,STAR99539_2,B-,3,3,2
13,1094,Spring 2009,MILK50696_1,A,3,3,1
13,1094,Spring 2009,COSM92852_1,A-,3,3,1
13,1094,Spring 2009,EXOP56809_1,W,3,0,1
14,1146,Summer 2014,ALIE11853_2,D,3,3,1
14,1146,Summer 2014,COSM14823_2,C,3,3,1
14,1148,Fall 2014,ASTR41081_1,B+,3,3,2
14,1148,Fall 2014,GALA40097_2,A,3,3,2
14,1154,Spring 2015,STAR38592_1,F,3,0,4
14,1154,Spring 2015,INTE10915_2,C+,3,3,4
14,1154,Spring 2015,STEL81910_2,B+,3,3,4
14,1154,Spring 2015,EXTR79506_1,W,3,0,4
14,1156,Summer 2015,GALA42460_1,A,3,3,5
14,1156,Summer 2015,INTE93415_1,F,3,0,5
14,1158,Fall 2015,MILK50696_3,B,3,3,6
14,1158,Fall 2015,SPAC22458_3,B+,3,3,6
14,1158,Fall 2015,INTE16533_3,W,3,0,6
14,1158,Fall 2015,SPAC75780_2,W,3,0,6
14,1164,Spring 2016,SPAC75780_1,A,3,3,8
14,1168,Fall 2016,SEAR80627_3,F,3,0,10
14,1168,Fall 2016,EXTR38630_2,A-,3,3,10
14,1168,Fall 2016,EXTR79506_1,A,3,3,10
14,1168,Fall 2016,STAR99539_1,A,3,3,10
14,1174,Spring 2017,EXOP56809_1,A,3,3,12
14,1174,Spring 2017,ALIE74993_3,B,3,3,12
14,1174,Spring 2017,INTE93415_1,D+,3,3,12
14,1158,Fall 2015,SEAR80627_1,F,3,0,1
14,1158,Fall 2015,BLAC49063_2,D+,3,3,1
14,1158,Fall 2015,DARK86226_1,B-,3,3,1
14,1158,Fall 2015,EXTR38630_2,B+,3,3,1
14,1164,Spring 2016,HYPE24629_2,D+,3,3,3
14,1164,Spring 2016,ASTR41081_1,B,3,3,3
14,1164,Spring 2016,GALA40097_2,W,3,0,3
14,1168,Fall 2016,GALA66884_1,C+,3,3,5
14,1168,Fall 2016,EXTR79506_1,D,3,3,5
14,1174,Spring 2017,GALA70070_1,F,3,0,7
14,1178,Fall 2017,QUAN26259_3,D+,3,3,9
14,1178,Fall 2017,SEAR80627_1,A-,3,3,9
14,1178,Fall 2017,GALA46496_3,D,3,3,9
14,1178,Fall 2017,STAR38592_1,B+,3,3,9
15,1158,Fall 2015,EXTR79506_2,F,3,0,2
15,1158,Fall 2015,GALA77139_1,C,3,3,2
15,1158,Fall 2015,ALIE11853_2,D,3,3,2
15,1164,Spring 2016,GALA70070_1,A,3,3,4
15,1164,Spring 2016,INTE93415_2,F,3,0,4
15,1164,Spring 2016,ASTR48370_1,B+,3,3,4
15,1164,Spring 2016,STAR38592_1,F,3,0,4
15,1168,Fall 2016,SPAC22458_1,B,3,3,6
15,1168,Fall 2016,EXTR38630_2,A,3,3,6
15,1168,Fall 2016,BLAC49063_1,A,3,3,6
15,1168,Fall 2016,GALA40097_3,A-,3,3,6
15,1168,Fall 2016,STAR99539_1,A,3,3,6
15,1172,January 2017,HYPE24629_1,D,3,3,7
15,1174,Spring 2017,SEAR80627_2,A,3,3,8
15,1174,Spring 2017,EXOP74254_2,D+,3,3,8
15,1174,Spring 2017,INTE94952_1,A-,3,3,8
15,1184,Spring 2018,INTE93415_2,C,3,3,12
15,1184,Spring 2018,COSM14823_1,D+,3,3,12
15,1184,Spring 2018,INTE86240_2,B+,3,3,12
15,1184,Spring 2018,MILK50696_2,A,3,3,12
15,1188,Fall 2018,QUAN26259_1,B+,3,3,14
15,1188,Fall 2018,SPAC75780_1,A,3,3,14
15,1188,Fall 2018,EXOP31959_2,C+,3,3,14
15,1188,Fall 2018,INTE10915_1,W,3,0,14
15,1194,Spring 2019,ASTR35756_1,A-,3,3,16
15,1194,Spring 2019,EXTR79506_3,A,3,3,16
15,1194,Spring 2019,STEL18167_1,D+,3,3,16
15,1196,Summer 2019,ASTR41081_2,A-,3,3,1
15,1196,Summer 2019,ALIE58926_1,A,3,3,1
15,1198,Fall 2019,BLAC59641_2,A,3,3,2
15,1198,Fall 2019,GALA66884_2,C+,3,3,2
15,1198,Fall 2019,SPAC75780_1,B,3,3,2
15,1198,Fall 2019,INTE86240_1,F,3,0,2
15,1204,Spring 2020,ALIE11853_1,C-,3,3,4
15,928,Fall 1992,GALA40097_2,B,3,3,1
15,932,January 1993,QUAN26259_2,B+,3,3,2
15,934,Spring 1993,EXTR38630_1,B,3,3,3
16,1164,Spring 2016,INTE94952_1,F,3,0,1
16,1164,Spring 2016,STAR38592_2,B+,3,3,1
16,1164,Spring 2016,COSM14823_2,D,3,3,1
16,1164,Spring 2016,ASTR73455_1,D,3,3,1
16,1168,Fall 2016,INTE86240_1,B+,3,3,3
16,1168,Fall 2016,SEAR80627_2,A,3,3,3
16,1168,Fall 2016,ASTR35756_1,A,3,3,3
16,1168,Fall 2016,EXTR38630_2,A,3,3,3
16,1174,Spring 2017,EXOP31959_1,A,3,3,5
16,1174,Spring 2017,ORIG68077_2,A,3,3,5
16,1174,Spring 2017,DARK86226_3,A-,3,3,5
16,1174,Spring 2017,INTE10915_1,B,3,3,5
16,1178,Fall 2017,MILK71096_2,A,3,3,7
16,1178,Fall 2017,SPAC75780_2,F,3,0,7
