Fake ID,Term code,Term,Academic plan code,Academic plan,Term GPA,Cumulative GPA,Academic load,Attempted units,Earned units,Total cumulative units,Program status
2,1146,Summer 2014,BALINTENSY,B.S. of Intergalactic Environmental Science,2.675,4.009090909,Full-time,12,9,33,Active in Program
2,1148,Fall 2014,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.675,Full-time,0,0,36,Active in Program
2,1152,January 2015,BALINTENSY,B.S. of Intergalactic Environmental Science,2.8,3.823076923,Full-time,6,6,39,Active in Program
2,1154,Spring 2015,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.55,Full-time,0,0,42,Active in Program
2,1156,Summer 2015,BALINTENSY,B.S. of Intergalactic Environmental Science,2.85,3.693333333,Part-time,6,6,45,Active in Program
2,1158,Fall 2015,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.4625,Part-time,0,0,48,Active in Program
2,1162,January 2016,BALINTENSY,B.S. of Intergalactic Environmental Science,2.7,3.417647059,Part-time,6,3,51,Active in Program
2,1164,Spring 2016,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.227777778,Part-time,3,0,54,Active in Program
2,1166,Summer 2016,BALINTENSY,B.S. of Intergalactic Environmental Science,3.666666667,3.636842105,Full-time,12,9,57,Active in Program
2,1168,Fall 2016,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.455,Full-time,0,0,60,Active in Program
2,1172,January 2017,BALINTENSY,B.S. of Intergalactic Environmental Science,1.975,3.666666667,Full-time,12,12,63,Active in Program
2,1174,Spring 2017,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.5,Full-time,0,0,66,Active in Program
2,1176,Summer 2017,BALINTENSY,B.S. of Intergalactic Environmental Science,4,3.52173913,Part-time,3,3,69,Active in Program
2,1178,Fall 2017,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.375,Part-time,0,0,72,Active in Program
2,1182,January 2018,BALINTENSY,B.S. of Intergalactic Environmental Science,4,3.4,Part-time,3,3,75,Active in Program
2,1132,January 2013,ASSINTLAWN,A.A. of Intergalactic Law,3.3,3.3,Full-time,3,3,3,Active in Program
2,1134,Spring 2013,ASSINTLAWN,A.A. of Intergalactic Law,0,1.65,Full-time,0,0,6,Active in Program
2,1136,Summer 2013,ASSINTLAWN,A.A. of Intergalactic Law,2.06,4.533333333,Full-time,15,12,9,Active in Program
2,1138,Fall 2013,ASSINTLAWN,A.A. of Intergalactic Law,3.2,5,Full-time,6,6,12,Active in Program
2,1142,January 2014,ASSINTLAWN,A.A. of Intergalactic Law,1.975,5.58,Full-time,12,12,15,Active in Program
2,1144,Spring 2014,ASSINTLAWN,A.A. of Intergalactic Law,0,4.65,Full-time,0,0,18,Active in Program
2,1146,Summer 2014,ASSINTLAWN,A.A. of Intergalactic Law,2.3,4.314285714,Part-time,3,3,21,Active in Program
2,1148,Fall 2014,ASSINTLAWN,A.A. of Intergalactic Law,0,3.775,Part-time,0,0,24,Active in Program
2,1152,January 2015,ASSINTLAWN,A.A. of Intergalactic Law,2.433333333,4.166666667,Part-time,12,9,27,Active in Program
2,1154,Spring 2015,ASSINTLAWN,A.A. of Intergalactic Law,0,3.75,Part-time,0,0,30,Active in Program
2,1156,Summer 2015,ASSINTLAWN,A.A. of Intergalactic Law,3.825,4.8,Full-time,12,12,33,Active in Program
2,1158,Fall 2015,ASSINTLAWN,A.A. of Intergalactic Law,0,4.4,Full-time,0,0,36,Active in Program
2,1142,January 2014,BALGALECOY,B.A. of Galactic Economics,3.25,13,Full-time,12,12,3,Active in Program
2,1144,Spring 2014,BALGALECOY,B.A. of Galactic Economics,0,6.5,Full-time,0,0,6,Active in Program
2,1146,Summer 2014,BALGALECOY,B.A. of Galactic Economics,1,5.333333333,Full-time,12,6,9,Active in Program
2,1148,Fall 2014,BALGALECOY,B.A. of Galactic Economics,0,4,Full-time,0,0,12,Active in Program
2,1152,January 2015,BALGALECOY,B.A. of Galactic Economics,1,3.8,Full-time,9,3,15,Active in Program
2,1154,Spring 2015,BALGALECOY,B.A. of Galactic Economics,0,3.166666667,Full-time,0,0,18,Active in Program
3,1228,Fall 2022,ASSALANGLS,A.A.S. of Alien Languages,3.3,3.3,Full-time,3,3,3,Active in Program
3,1232,January 2023,ASSALANGLS,A.A.S. of Alien Languages,2.2,7.15,Full-time,15,12,6,Active in Program
3,1046,Summer 2004,BALSPEDESY,B.S. of Space Engineering and Design,2.2,6.6,Part-time,9,9,3,Active in Program
3,1048,Fall 2004,BALSPEDESY,B.S. of Space Engineering and Design,0,3.3,Part-time,0,0,6,Active in Program
3,1222,January 2022,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,2.925,11.7,Full-time,12,12,3,Active in Program
3,1224,Spring 2022,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,5.85,Full-time,0,0,6,Active in Program
3,1226,Summer 2022,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.7,5.133333333,Part-time,3,3,9,Active in Program
3,1228,Fall 2022,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,3.85,Part-time,0,0,12,Active in Program
3,1232,January 2023,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.65,4.54,Part-time,6,6,15,Active in Program
4,1182,January 2018,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.75,11,Full-time,12,9,3,Active in Program
4,1184,Spring 2018,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,5.5,Full-time,0,0,6,Active in Program
4,1186,Summer 2018,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.075,6.433333333,Full-time,12,12,9,Active in Program
4,1188,Fall 2018,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,4.825,Full-time,0,0,12,Active in Program
4,1192,January 2019,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.86,Full-time,0,0,15,Leave of Absence
4,1194,Spring 2019,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.216666667,Full-time,0,0,18,Leave of Absence
4,1196,Summer 2019,BALINTARTY,B.A. of Intergalactic Arts and Culture,3.6,5.328571429,Full-time,15,15,21,Active in Program
4,1198,Fall 2019,BALINTARTY,B.A. of Intergalactic Arts and Culture,2,4.9125,Full-time,3,3,24,Active in Program
4,1202,January 2020,BALINTARTY,B.A. of Intergalactic Arts and Culture,3.075,5.733333333,Full-time,12,12,27,Active in Program
4,1204,Spring 2020,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,5.16,Full-time,0,0,30,Active in Program
4,1206,Summer 2020,BALINTARTY,B.A. of Intergalactic Arts and Culture,1.8,5.181818182,Full-time,15,9,33,Active in Program
4,1208,Fall 2020,BALINTARTY,B.A. of Intergalactic Arts and Culture,4,5.083333333,Full-time,3,3,36,Active in Program
4,1212,January 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.7,4.9,Full-time,3,3,39,Active in Program
4,1214,Spring 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,1,4.621428571,Full-time,3,3,42,Active in Program
4,1216,Summer 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.233333333,4.76,Full-time,12,6,45,Active in Program
4,1218,Fall 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,4.4625,Full-time,0,0,48,Active in Program
4,1222,January 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,1,4.258823529,Full-time,6,3,51,Active in Program
4,1224,Spring 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,4.022222222,Full-time,0,0,54,Active in Program
4,1226,Summer 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.85,4.110526316,Part-time,9,6,57,Active in Program
4,1228,Fall 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.905,Part-time,0,0,60,Active in Program
4,1232,January 2023,BALINTARTY,B.A. of Intergalactic Arts and Culture,3.85,4.085714286,Part-time,6,6,63,Active in Program
5,1212,January 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,3.35,6.7,Full-time,6,6,3,Active in Program
5,1214,Spring 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.35,Full-time,0,0,6,Active in Program
5,1216,Summer 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.8,4.1,Part-time,6,6,9,Active in Program
5,1218,Fall 2021,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.3,3.65,Part-time,3,3,12,Active in Program
5,1222,January 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.7,4,Part-time,6,6,15,Active in Program
5,1224,Spring 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.333333333,Part-time,0,0,18,Active in Program
5,1226,Summer 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,2.8,3.657142857,Full-time,12,6,21,Active in Program
5,1228,Fall 2022,BALINTARTY,B.A. of Intergalactic Arts and Culture,0,3.2,Full-time,0,0,24,Active in Program
6,1162,January 2016,BALINTSECY,B.S. of Intergalactic Security,2.8,8.4,Full-time,12,9,3,Active in Program
6,1164,Spring 2016,BALINTSECY,B.S. of Intergalactic Security,0,4.2,Full-time,0,0,6,Active in Program
6,1166,Summer 2016,BALINTSECY,B.S. of Intergalactic Security,2.925,6.7,Full-time,12,12,9,Active in Program
6,1168,Fall 2016,BALINTSECY,B.S. of Intergalactic Security,0,5.025,Full-time,0,0,12,Active in Program
6,1172,January 2017,BALINTSECY,B.S. of Intergalactic Security,3.1,5.88,Full-time,9,9,15,Active in Program
6,1226,Summer 2022,ASSINTRELS,A.A. of Interspecies Relations,3.433333333,10.3,Full-time,12,9,3,Active in Program
6,1228,Fall 2022,ASSINTRELS,A.A. of Interspecies Relations,0,5.15,Full-time,0,0,6,Active in Program
6,1232,January 2023,ASSINTRELS,A.A. of Interspecies Relations,1.85,4.666666667,Full-time,9,6,9,Active in Program
6,1186,Summer 2018,BALINTMEDY,B.S. of Intergalactic Medicine,2.9,8.7,Full-time,12,9,3,Active in Program
6,1188,Fall 2018,BALINTMEDY,B.S. of Intergalactic Medicine,2,5.35,Full-time,3,3,6,Active in Program
6,1192,January 2019,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.566666667,Full-time,0,0,9,Leave of Absence
6,1194,Spring 2019,BALINTMEDY,B.S. of Intergalactic Medicine,0,2.675,Full-time,0,0,12,Leave of Absence
6,1196,Summer 2019,BALINTMEDY,B.S. of Intergalactic Medicine,2.425,4.08,Full-time,12,9,15,Active in Program
6,1198,Fall 2019,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.4,Full-time,0,0,18,Active in Program
6,1202,January 2020,BALINTMEDY,B.S. of Intergalactic Medicine,2.333333333,3.914285714,Full-time,9,6,21,Active in Program
6,1204,Spring 2020,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.425,Full-time,0,0,24,Active in Program
6,1206,Summer 2020,BALINTMEDY,B.S. of Intergalactic Medicine,2.65,4.222222222,Full-time,12,12,27,Active in Program
6,1208,Fall 2020,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.8,Full-time,0,0,30,Active in Program
6,1212,January 2021,BALINTMEDY,B.S. of Intergalactic Medicine,4,4.181818182,Full-time,6,6,33,Active in Program
6,1214,Spring 2021,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.833333333,Full-time,0,0,36,Active in Program
6,1216,Summer 2021,BALINTMEDY,B.S. of Intergalactic Medicine,3.3,4.046153846,Part-time,6,6,39,Active in Program
6,1218,Fall 2021,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.757142857,Part-time,0,0,42,Active in Program
6,1222,January 2022,BALINTMEDY,B.S. of Intergalactic Medicine,2.025,4.046666667,Part-time,12,12,45,Active in Program
6,1224,Spring 2022,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.79375,Part-time,0,0,48,Active in Program
6,1226,Summer 2022,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.570588235,Part-time,0,0,51,Leave of Absence
7,1048,Fall 2004,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,0,Full-time,0,0,3,Active in Program
7,1052,January 2005,ASSINTCOMS,A.A.S. of Intergalactic Communications,2.775,5.55,Full-time,15,9,6,Active in Program
7,1054,Spring 2005,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,3.7,Full-time,0,0,9,Active in Program
7,1056,Summer 2005,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,2.775,Part-time,0,0,12,Leave of Absence
7,1058,Fall 2005,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,2.22,Part-time,0,0,15,Leave of Absence
7,1062,January 2006,ASSINTCOMS,A.A.S. of Intergalactic Communications,2.25,3.35,Part-time,12,9,18,Active in Program
7,1064,Spring 2006,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,2.871428571,Part-time,0,0,21,Active in Program
7,1066,Summer 2006,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,2.5125,Part-time,0,0,24,Leave of Absence
7,1068,Fall 2006,ASSINTCOMS,A.A.S. of Intergalactic Communications,0,2.233333333,Part-time,0,0,27,Leave of Absence
7,1072,January 2007,ASSINTCOMS,A.A.S. of Intergalactic Communications,2.94,3.48,Part-time,15,15,30,Active in Program
7,1172,January 2017,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,1.85,3.7,Full-time,6,3,3,Active in Program
7,1174,Spring 2017,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,1.85,Full-time,0,0,6,Active in Program
7,1176,Summer 2017,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,1.9,3.766666667,Full-time,12,12,9,Active in Program
7,1178,Fall 2017,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,2.825,Full-time,0,0,12,Active in Program
7,1182,January 2018,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,3.3,2.92,Full-time,3,3,15,Active in Program
7,1184,Spring 2018,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,2.433333333,Full-time,0,0,18,Active in Program
7,1186,Summer 2018,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,2.085714286,Part-time,0,0,21,Leave of Absence
7,1188,Fall 2018,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,2.7,2.1625,Part-time,3,3,24,Active in Program
7,1192,January 2019,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,3.25,3.366666667,Part-time,12,12,27,Active in Program
7,1194,Spring 2019,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,3.03,Part-time,0,0,30,Active in Program
7,1196,Summer 2019,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,3,3.027272727,Part-time,3,3,33,Active in Program
7,1198,Fall 2019,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,2.775,Part-time,0,0,36,Active in Program
7,1202,January 2020,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,1.666666667,2.946153846,Part-time,9,6,39,Active in Program
7,1204,Spring 2020,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,2.735714286,Part-time,0,0,42,Active in Program
7,1206,Summer 2020,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,2.38,3.346666667,Full-time,15,15,45,Active in Program
7,1208,Fall 2020,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,3.1375,Full-time,0,0,48,Active in Program
7,1212,January 2021,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,1.55,3.317647059,Full-time,12,12,51,Active in Program
7,1214,Spring 2021,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,0,3.133333333,Full-time,0,0,54,Active in Program
8,1102,January 2010,ASSALANGLS,A.A.S. of Alien Languages,3.5,7,Full-time,6,6,3,Active in Program
8,1104,Spring 2010,ASSALANGLS,A.A.S. of Alien Languages,0,3.5,Full-time,0,0,6,Active in Program
8,1106,Summer 2010,ASSALANGLS,A.A.S. of Alien Languages,0,2.333333333,Part-time,3,0,9,Active in Program
9,1182,January 2018,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,3.15,12.6,Full-time,12,12,3,Active in Program
9,1184,Spring 2018,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,0,6.3,Full-time,0,0,6,Active in Program
10,1016,Summer 2001,ASSINTLAWN,A.A. of Intergalactic Law,0,0,Part-time,0,0,3,Leave of Absence
10,1018,Fall 2001,ASSINTLAWN,A.A. of Intergalactic Law,3.15,3.15,Part-time,6,6,6,Active in Program
10,1022,January 2002,ASSINTLAWN,A.A. of Intergalactic Law,1.3,2.533333333,Part-time,9,3,9,Active in Program
10,1024,Spring 2002,ASSINTLAWN,A.A. of Intergalactic Law,0,1.9,Part-time,0,0,12,Active in Program
10,1026,Summer 2002,ASSINTLAWN,A.A. of Intergalactic Law,2,2.32,Part-time,6,6,15,Active in Program
10,1028,Fall 2002,ASSINTLAWN,A.A. of Intergalactic Law,0,1.933333333,Part-time,0,0,18,Active in Program
10,1032,January 2003,ASSINTLAWN,A.A. of Intergalactic Law,4,2.8,Part-time,6,6,21,Active in Program
10,1034,Spring 2003,ASSINTLAWN,A.A. of Intergalactic Law,0,2.45,Part-time,0,0,24,Active in Program
10,1036,Summer 2003,ASSINTLAWN,A.A. of Intergalactic Law,2.7,3.377777778,Full-time,12,12,27,Active in Program
10,1038,Fall 2003,ASSINTLAWN,A.A. of Intergalactic Law,0,3.04,Full-time,0,0,30,Active in Program
10,1042,January 2004,ASSINTLAWN,A.A. of Intergalactic Law,2.85,3.281818182,Full-time,6,6,33,Active in Program
10,1044,Spring 2004,ASSINTLAWN,A.A. of Intergalactic Law,0,3.008333333,Full-time,0,0,36,Active in Program
10,1046,Summer 2004,ASSINTLAWN,A.A. of Intergalactic Law,0,2.776923077,Part-time,0,0,39,Leave of Absence
10,1048,Fall 2004,ASSINTLAWN,A.A. of Intergalactic Law,3.7,2.842857143,Part-time,3,3,42,Active in Program
10,1052,January 2005,ASSINTLAWN,A.A. of Intergalactic Law,3.65,3.626666667,Part-time,12,12,45,Active in Program
11,1136,Summer 2013,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.466666667,10.4,Full-time,12,9,3,Active in Program
11,1138,Fall 2013,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,5.2,Full-time,0,0,6,Active in Program
11,1142,January 2014,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,2.4,6.666666667,Full-time,12,9,9,Active in Program
11,1144,Spring 2014,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,5,Full-time,0,0,12,Active in Program
11,1146,Summer 2014,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.06,7.06,Full-time,15,15,15,Active in Program
11,1148,Fall 2014,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,5.883333333,Full-time,0,0,18,Active in Program
11,1152,January 2015,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.7,5.571428571,Full-time,3,3,21,Active in Program
11,1154,Spring 2015,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.7,5.3375,Full-time,3,3,24,Active in Program
11,1156,Summer 2015,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,3.666666667,5.966666667,Part-time,9,9,27,Active in Program
11,1158,Fall 2015,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,5.37,Part-time,3,0,30,Active in Program
11,1162,January 2016,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,2.3,5.090909091,Part-time,3,3,33,Active in Program
11,1164,Spring 2016,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,4.666666667,Part-time,0,0,36,Active in Program
11,1166,Summer 2016,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,1.15,4.661538462,Full-time,12,9,39,Active in Program
11,1168,Fall 2016,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,0,4.328571429,Full-time,0,0,42,Active in Program
11,1172,January 2017,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,2.58,4.9,Full-time,15,15,45,Active in Program
11,1096,Summer 2009,BALINTMEDY,B.S. of Intergalactic Medicine,3,3,Part-time,3,3,3,Active in Program
11,1098,Fall 2009,BALINTMEDY,B.S. of Intergalactic Medicine,0,1.5,Part-time,0,0,6,Active in Program
11,1102,January 2010,BALINTMEDY,B.S. of Intergalactic Medicine,2.25,4,Part-time,12,12,9,Active in Program
11,1104,Spring 2010,BALINTMEDY,B.S. of Intergalactic Medicine,0,3,Part-time,0,0,12,Active in Program
11,1106,Summer 2010,BALINTMEDY,B.S. of Intergalactic Medicine,2.85,4.68,Full-time,12,12,15,Active in Program
11,1108,Fall 2010,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.9,Full-time,0,0,18,Active in Program
11,1112,January 2011,BALINTMEDY,B.S. of Intergalactic Medicine,3.5,4.342857143,Full-time,12,6,21,Active in Program
11,1114,Spring 2011,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.8,Full-time,3,0,24,Active in Program
11,1116,Summer 2011,BALINTMEDY,B.S. of Intergalactic Medicine,3.175,4.788888889,Full-time,12,12,27,Active in Program
11,1118,Fall 2011,BALINTMEDY,B.S. of Intergalactic Medicine,0,4.31,Full-time,0,0,30,Active in Program
11,1122,January 2012,BALINTMEDY,B.S. of Intergalactic Medicine,2.5,4.827272727,Full-time,12,9,33,Active in Program
11,1124,Spring 2012,BALINTMEDY,B.S. of Intergalactic Medicine,0,4.425,Full-time,0,0,36,Active in Program
11,1126,Summer 2012,BALINTMEDY,B.S. of Intergalactic Medicine,2.075,4.723076923,Full-time,12,12,39,Active in Program
11,1128,Fall 2012,BALINTMEDY,B.S. of Intergalactic Medicine,0,4.385714286,Full-time,0,0,42,Active in Program
11,1132,January 2013,BALINTMEDY,B.S. of Intergalactic Medicine,0,4.093333333,Full-time,0,0,45,Leave of Absence
11,1134,Spring 2013,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.8375,Full-time,0,0,48,Leave of Absence
11,1136,Summer 2013,BALINTMEDY,B.S. of Intergalactic Medicine,3.7,3.829411765,Part-time,3,3,51,Active in Program
11,1138,Fall 2013,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.616666667,Part-time,0,0,54,Active in Program
11,1142,January 2014,BALINTMEDY,B.S. of Intergalactic Medicine,1.5,3.584210526,Part-time,12,6,57,Active in Program
11,1144,Spring 2014,BALINTMEDY,B.S. of Intergalactic Medicine,0,3.405,Part-time,0,0,60,Active in Program
11,1146,Summer 2014,BALINTMEDY,B.S. of Intergalactic Medicine,2.433333333,3.59047619,Full-time,12,9,63,Active in Program
11,1192,January 2019,BALEXOGEOY,B.S. of Exoplanetary Geology,3.35,6.7,Full-time,9,6,3,Active in Program
11,1194,Spring 2019,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.35,Full-time,0,0,6,Active in Program
11,1196,Summer 2019,BALEXOGEOY,B.S. of Exoplanetary Geology,0,2.233333333,Part-time,6,0,9,Active in Program
11,1198,Fall 2019,BALEXOGEOY,B.S. of Exoplanetary Geology,3.3,2.5,Part-time,3,3,12,Active in Program
11,1202,January 2020,BALEXOGEOY,B.S. of Exoplanetary Geology,3.466666667,4.08,Part-time,12,9,15,Active in Program
11,1204,Spring 2020,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.4,Part-time,0,0,18,Active in Program
11,1206,Summer 2020,BALEXOGEOY,B.S. of Exoplanetary Geology,2.2,3.857142857,Full-time,12,9,21,Active in Program
11,1208,Fall 2020,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.375,Full-time,0,0,24,Active in Program
11,1212,January 2021,BALEXOGEOY,B.S. of Exoplanetary Geology,2.46,4.366666667,Full-time,15,12,27,Active in Program
11,1214,Spring 2021,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.93,Full-time,0,0,30,Active in Program
11,1216,Summer 2021,BALEXOGEOY,B.S. of Exoplanetary Geology,0.566666667,3.727272727,Full-time,12,3,33,Active in Program
11,1218,Fall 2021,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.416666667,Full-time,0,0,36,Active in Program
11,1222,January 2022,BALEXOGEOY,B.S. of Exoplanetary Geology,2.94,4.284615385,Full-time,15,15,39,Active in Program
11,1224,Spring 2022,BALEXOGEOY,B.S. of Exoplanetary Geology,0,3.978571429,Full-time,0,0,42,Active in Program
11,1226,Summer 2022,BALEXOGEOY,B.S. of Exoplanetary Geology,3.333333333,4.38,Full-time,12,9,45,Active in Program
